kernel,size_bytes,bandwidth_gb_s,percent_peak,note
sequential_read,1024,0.85,0.31,
sequential_write,1024,0.43,0.16,
read_write_copy,1024,0.89,0.33,
saxpy,1024,1.32,0.48,
strided_read,1024,0.84,0.31,
random_read,1024,1.71,0.63,
coalesced_access,1024,0.88,0.32,
non_coalesced_access,1024,0.85,0.31,
atomic_accumulate,1024,0.88,0.32,
sequential_read,4096,3.57,1.31,
sequential_write,4096,2.02,0.74,
read_write_copy,4096,3.91,1.43,
saxpy,4096,5.77,2.11,
strided_read,4096,3.24,1.19,
random_read,4096,6.03,2.21,
coalesced_access,4096,3.67,1.35,
non_coalesced_access,4096,3.24,1.19,
atomic_accumulate,4096,1.96,0.72,
sequential_read,16384,14.03,5.14,
sequential_write,16384,7.32,2.68,
read_write_copy,16384,13.53,4.95,
saxpy,16384,21.10,7.73,
strided_read,16384,12.61,4.62,
random_read,16384,22.53,8.25,
coalesced_access,16384,14.78,5.41,
non_coalesced_access,16384,13.65,5.00,
atomic_accumulate,16384,3.97,1.45,
sequential_read,65536,56.26,20.61,
sequential_write,65536,28.05,10.28,
read_write_copy,65536,56.34,20.64,
saxpy,65536,84.28,30.87,
strided_read,65536,46.70,17.11,
random_read,65536,62.58,22.92,
coalesced_access,65536,56.50,20.69,
non_coalesced_access,65536,47.19,17.29,
atomic_accumulate,65536,5.32,1.95,
sequential_read,262144,175.04,64.12,
sequential_write,262144,112.99,41.39,
read_write_copy,262144,187.25,68.59,
saxpy,262144,246.01,90.11,
strided_read,262144,131.60,48.20,
random_read,262144,175.42,64.26,
coalesced_access,262144,188.97,69.22,
non_coalesced_access,262144,131.70,48.24,
atomic_accumulate,262144,5.65,2.07,
sequential_read,1048576,479.77,175.74,
sequential_write,1048576,269.92,98.87,
read_write_copy,1048576,501.04,183.53,
saxpy,1048576,728.18,266.73,
strided_read,1048576,491.27,179.95,
random_read,1048576,333.69,122.23,
coalesced_access,1048576,481.88,176.51,
non_coalesced_access,1048576,353.87,129.62,
atomic_accumulate,1048576,5.75,2.11,
sequential_read,4194304,978.15,358.30,
sequential_write,4194304,528.52,193.60,
read_write_copy,4194304,983.29,360.18,
saxpy,4194304,1124.76,412.00,
strided_read,4194304,437.20,160.15,
random_read,4194304,422.61,154.80,
coalesced_access,4194304,980.34,359.10,
non_coalesced_access,4194304,665.68,243.84,
atomic_accumulate,4194304,5.78,2.12,
sequential_read,16777216,275.98,101.09,
sequential_write,16777216,235.34,86.20,
read_write_copy,16777216,271.71,99.53,
saxpy,16777216,361.58,132.45,
strided_read,16777216,234.36,85.85,
random_read,16777216,156.39,57.29,
coalesced_access,16777216,253.56,92.88,
non_coalesced_access,16777216,196.05,71.81,
atomic_accumulate,16777216,5.79,2.12,
sequential_read,67108864,211.56,77.49,
sequential_write,67108864,193.92,71.03,
read_write_copy,67108864,209.26,76.65,
saxpy,67108864,232.92,85.32,
strided_read,67108864,53.23,19.50,
random_read,67108864,49.47,18.12,
coalesced_access,67108864,210.82,77.22,
non_coalesced_access,67108864,148.62,54.44,
atomic_accumulate,67108864,5.79,2.12,
sequential_read,268435456,210.30,77.03,
sequential_write,268435456,194.99,71.42,
read_write_copy,268435456,210.36,77.05,
saxpy,268435456,219.50,80.40,
strided_read,268435456,53.14,19.46,
random_read,268435456,30.45,11.16,
coalesced_access,268435456,206.61,75.68,
non_coalesced_access,268435456,137.89,50.51,
atomic_accumulate,268435456,5.79,2.12,
sequential_read,1073741824,206.06,75.48,
sequential_write,1073741824,195.44,71.59,
read_write_copy,1073741824,206.64,75.69,
saxpy,1073741824,214.66,78.63,
strided_read,1073741824,52.10,19.08,
random_read,1073741824,26.04,9.54,
coalesced_access,1073741824,202.89,74.32,
non_coalesced_access,1073741824,136.19,49.89,
atomic_accumulate,1073741824,5.79,2.12,
sequential_read,4294967296,201.70,73.88,
sequential_write,4294967296,194.79,71.35,
read_write_copy,4294967296,200.11,73.30,
saxpy,4294967296,212.20,77.73,
strided_read,4294967296,52.27,19.15,
random_read,4294967296,23.12,8.47,
coalesced_access,4294967296,203.48,74.53,
non_coalesced_access,4294967296,138.43,50.71,
atomic_accumulate,4294967296,5.79,2.12,
sequential_read,17179869184,0.00,0.00,skip
sequential_write,17179869184,0.00,0.00,skip
read_write_copy,17179869184,0.00,0.00,skip
saxpy,17179869184,0.00,0.00,skip
strided_read,17179869184,0.00,0.00,skip
random_read,17179869184,0.00,0.00,skip
coalesced_access,17179869184,0.00,0.00,skip
non_coalesced_access,17179869184,0.00,0.00,skip
atomic_accumulate,17179869184,5.78,2.12,
sequential_read,68719476736,0.00,0.00,skip
sequential_write,68719476736,0.00,0.00,skip
read_write_copy,68719476736,0.00,0.00,skip
saxpy,68719476736,0.00,0.00,skip
strided_read,68719476736,0.00,0.00,skip
random_read,68719476736,0.00,0.00,skip
coalesced_access,68719476736,0.00,0.00,skip
non_coalesced_access,68719476736,0.00,0.00,skip
atomic_accumulate,68719476736,0.00,0.00,skip
